# Dend2 Dend3   Potential
7.000000000000000000e+00 5.000000000000000000e+00 -6.151102697359827687e+01
7.000000000000000000e+00 6.000000000000000000e+00 -6.062691816867587136e+01
7.000000000000000000e+00 7.000000000000000000e+00 -5.967156091150893360e+01
7.000000000000000000e+00 8.000000000000000000e+00 -5.855890123020424909e+01
7.000000000000000000e+00 9.000000000000000000e+00 -5.702785155148466600e+01
7.000000000000000000e+00 1.000000000000000000e+01 1.585663395992057012e+01
7.000000000000000000e+00 1.100000000000000000e+01 2.285347694240427785e+01
7.000000000000000000e+00 1.200000000000000000e+01 2.478645156524040161e+01
7.000000000000000000e+00 1.300000000000000000e+01 2.590863477306023910e+01
7.000000000000000000e+00 1.400000000000000000e+01 2.668050752561907757e+01
7.000000000000000000e+00 1.500000000000000000e+01 2.726107904437639462e+01
7.000000000000000000e+00 1.600000000000000000e+01 2.771733304162630063e+01
7.000000000000000000e+00 1.700000000000000000e+01 2.808906119500676368e+01
7.000000000000000000e+00 1.800000000000000000e+01 2.839954038206339249e+01
7.000000000000000000e+00 1.900000000000000000e+01 2.866233071809703148e+01
7.000000000000000000e+00 2.000000000000000000e+01 2.888986067583331874e+01
7.000000000000000000e+00 2.100000000000000000e+01 2.908814122037176375e+01
7.000000000000000000e+00 2.200000000000000000e+01 2.926521827607275483e+01
7.000000000000000000e+00 2.300000000000000000e+01 2.942084132106839078e+01
7.000000000000000000e+00 2.400000000000000000e+01 2.955799473124941912e+01
7.000000000000000000e+00 2.500000000000000000e+01 2.968526584060973761e+01
7.000000000000000000e+00 2.600000000000000000e+01 2.979839744203250262e+01
7.000000000000000000e+00 2.700000000000000000e+01 2.990488047985819264e+01
7.000000000000000000e+00 2.800000000000000000e+01 2.999991273833924055e+01
7.000000000000000000e+00 2.900000000000000000e+01 3.008535791837957873e+01
8.000000000000000000e+00 0.000000000000000000e+00 -6.547417557674572208e+01
8.000000000000000000e+00 1.000000000000000000e+00 -6.456016860347976660e+01
8.000000000000000000e+00 2.000000000000000000e+00 -6.367543492887569556e+01
8.000000000000000000e+00 3.000000000000000000e+00 -6.280775593600382223e+01
8.000000000000000000e+00 4.000000000000000000e+00 -6.194136267201889012e+01
8.000000000000000000e+00 5.000000000000000000e+00 -6.105366856360405592e+01
8.000000000000000000e+00 6.000000000000000000e+00 -6.011331984075717827e+01
8.000000000000000000e+00 7.000000000000000000e+00 -5.905814926074305760e+01
8.000000000000000000e+00 8.000000000000000000e+00 -5.772164731759747980e+01
8.000000000000000000e+00 9.000000000000000000e+00 -5.508660976340537019e+01
8.000000000000000000e+00 1.000000000000000000e+01 2.180618054764108749e+01
8.000000000000000000e+00 1.100000000000000000e+01 2.437064873379486230e+01
8.000000000000000000e+00 1.200000000000000000e+01 2.569118848642945707e+01
8.000000000000000000e+00 1.300000000000000000e+01 2.655930236946745637e+01
8.000000000000000000e+00 1.400000000000000000e+01 2.719527840946502195e+01
8.000000000000000000e+00 1.500000000000000000e+01 2.768466045231728145e+01
8.000000000000000000e+00 1.600000000000000000e+01 2.808360980893021264e+01
8.000000000000000000e+00 1.700000000000000000e+01 2.841050506796045738e+01
8.000000000000000000e+00 1.800000000000000000e+01 2.868986674799015191e+01
8.000000000000000000e+00 1.900000000000000000e+01 2.892835730278693163e+01
8.000000000000000000e+00 2.000000000000000000e+01 2.913232389319971460e+01
8.000000000000000000e+00 2.100000000000000000e+01 2.931545825680207429e+01
8.000000000000000000e+00 2.200000000000000000e+01 2.947602043225569091e+01
8.000000000000000000e+00 2.300000000000000000e+01 2.961932431041353908e+01
8.000000000000000000e+00 2.400000000000000000e+01 2.974980747244282142e+01
8.000000000000000000e+00 2.500000000000000000e+01 2.986884868210719901e+01
8.000000000000000000e+00 2.600000000000000000e+01 2.997364038762066585e+01
8.000000000000000000e+00 2.700000000000000000e+01 3.007179747353169930e+01
